,CP,CP_CI_HP,Date,HP,LP,emaCP5,emaCP_CI_HP5,emaCP20,emaCP_CI_HP20,minHP3,avCP_CI_HP50,avCP_CI_HP10
114,11627.15,11627.15,2019-10-27,11672.4,11604.6,11592.092725792812,11592.092725792812,11446.625104401155,11446.625104401155,11646.9,11190.220000000003,11546.775000000001
115,11583.9,11583.9,2019-10-25,11646.9,11490.75,11574.564088689218,11574.564088689218,11427.622483811803,11427.622483811803,11646.9,11178.326000000001,11514.565000000002
116,11582.6,11582.6,2019-10-24,11679.6,11534.65,11569.896133033826,11569.896133033826,11411.172218949887,11411.172218949887,11651.6,11163.758,11479.630000000003
117,11604.1,11604.1,2019-10-23,11651.6,11554.4,11563.544199550737,11563.544199550737,11393.127189365663,11393.127189365663,11651.6,11151.071000000002,11452.700000000003
118,11588.35,11588.35,2019-10-22,11714.35,11573.65,11543.266299326104,11543.266299326104,11370.919525088364,11370.919525088364,11599.1,11136.241000000002,11404.930000000002
119,11661.85,11661.85,2019-10-18,11684.7,11553.15,11520.724448989155,11520.724448989155,11348.032106676614,11348.032106676614,11481.05,11124.421,11363.570000000002
120,11586.35,11586.35,2019-10-17,11599.1,11439.65,11450.161673483732,11450.161673483732,11314.998644221521,11314.998644221521,11462.35,11110.784000000001,11328.785
121,11464.0,11464.0,2019-10-16,11481.05,11411.1,11382.067510225595,11382.067510225595,11286.435343613259,11286.435343613259,11420.45,11101.417000000001,11306.14
122,11428.3,11428.3,2019-10-15,11462.35,11342.1,11341.101265338393,11341.101265338393,11267.744327151495,11267.744327151495,11362.9,11093.845000000003,11307.185
123,11341.15,11341.15,2019-10-14,11420.45,11290.05,11297.50189800759,11297.50189800759,11250.843730009547,11250.843730009547,11293.35,11089.063,11315.594999999998
124,11305.05,11305.05,2019-10-11,11362.9,11189.4,11275.677847011382,11275.677847011382,11241.337806852656,11241.337806852656,11293.35,11087.926000000001,11338.599999999999
125,11234.55,11234.55,2019-10-10,11293.35,11208.55,11260.991770517074,11260.991770517074,11234.631260205568,11234.631260205568,11233.85,11086.868,11352.114999999998
126,11313.3,11313.3,2019-10-09,11321.6,11090.15,11274.212655775611,11274.212655775611,11234.639813911415,11234.639813911415,11233.85,11087.603000000001,11387.479999999998
127,11126.4,11126.4,2019-10-07,11233.85,11112.65,11254.668983663416,11254.668983663416,11226.359794323143,11226.359794323143,11233.85,11087.958,11416.169999999996
128,11174.75,11174.75,2019-10-04,11400.3,11158.35,11318.803475495122,11318.803475495122,11236.881877936106,11236.881877936106,11370.4,11092.354,11430.944999999996
129,11314.0,11314.0,2019-10-03,11370.4,11257.35,11390.830213242682,11390.830213242682,11243.422075613591,11243.422075613591,11370.4,11097.243999999999,11383.949999999997
130,11359.9,11359.9,2019-10-01,11554.2,11247.9,11429.245319864021,11429.245319864021,11235.992820415022,11235.992820415022,11508.25,11102.902,11336.614999999996
131,11474.45,11474.45,2019-09-30,11508.25,11390.8,11463.917979796031,11463.917979796031,11222.949959406076,11222.949959406076,11508.25,11109.454,11282.384999999998
132,11512.4,11512.4,2019-09-27,11593.6,11499.75,11458.651969694045,11458.651969694045,11196.476270922505,11196.476270922505,11564.95,11113.216999999999,11235.289999999997
133,11571.2,11571.2,2019-09-26,11610.85,11466.35,11431.777954541069,11431.777954541069,11163.221141545928,11163.221141545928,11564.95,11114.735999999999,11191.639999999998
134,11440.2,11440.2,2019-09-25,11564.95,11416.1,11362.066931811602,11362.066931811602,11120.275998550762,11120.275998550762,11564.95,11114.362,11132.8
135,11588.2,11588.2,2019-09-24,11655.05,11539.2,11323.000397717402,11323.000397717402,11086.599787871895,11086.599787871895,11381.9,11117.216,11092.349999999999
136,11600.2,11600.2,2019-09-23,11694.85,11471.35,11190.4005965761,11190.4005965761,11033.79976554262,11033.79976554262,10845.2,11115.430000000002,11033.835
137,11274.15,11274.15,2019-09-20,11381.9,10691.0,10985.50089486415,10985.50089486415,10974.178688231317,10974.178688231317,10845.2,11114.544000000004,10968.435
138,10704.8,10704.8,2019-09-19,10845.2,10670.25,10841.176342296225,10841.176342296225,10942.602760676718,10942.602760676718,10845.2,11120.233000000002,10925.81
139,10840.65,10840.65,2019-09-18,10885.15,10804.85,10909.364513444338,10909.364513444338,10967.634630221637,10967.634630221637,10885.15,11142.360000000002,10939.794999999998
140,10817.6,10817.6,2019-09-17,11000.1,10796.5,10943.721770166507,10943.721770166507,10981.00143340286,10981.00143340286,11000.1,11164.482000000002,10935.519999999999
141,11003.5,11003.5,2019-09-16,11052.7,10968.2,11006.782655249757,11006.782655249757,10998.201584287372,10998.201584287372,11052.7,11186.465000000002,10956.084999999997
142,11075.9,11075.9,2019-09-13,11084.45,10945.75,11008.423982874636,11008.423982874636,10997.64385631762,10997.64385631762,11054.8,11204.601000000002,10950.564999999999
143,10982.8,10982.8,2019-09-12,11081.75,10964.95,10974.685974311951,10974.685974311951,10989.406367508947,10989.406367508947,11028.85,11220.395000000002,10947.585
144,11035.7,11035.7,2019-09-11,11054.8,11011.65,10970.628961467926,10970.628961467926,10990.101774615152,10990.101774615152,10957.05,11236.516000000001,10959.84
